,grid_topology,pv_penetration,hp_penetration,ev_penetration,lem_with_lem,average_energy_price_with_lem,avg_share_balancing_energy_with_lem,avg_normalized_market_energy_with_lem,avg_ratio_gen_dem_with_lem,avg_ratio_hp_hh_with_lem,avg_ratio_pv_hp_with_lem,peak_power_with_lem,season_with_lem,max_loads_with_lem,grid_topology_without_lem,lem_without_lem,average_energy_price_without_lem,avg_share_balancing_energy_without_lem,avg_normalized_market_energy_without_lem,avg_ratio_gen_dem_without_lem,avg_ratio_hp_hh_without_lem,avg_ratio_pv_hp_without_lem,peak_power_without_lem,season_without_lem,max_loads_without_lem,average_energy_price_ratio,peak_power_ratio,max_loads_ratio
63,Urban,0.5,0.5,0.75,True,0.2674,0.1763,0.4708,0.5932,0.4644,5.189,-731.696,winter,557.2,Urban,False,0.2875,0.0,0.4771,0.6324,0.4345,7.0441,-692.628,winter,596.71,0.9300869565217393,1.0564054586300293,0.9337869316753532
64,Urban,0.5,0.5,1.0,True,0.2703,0.164,0.4906,0.577,0.4645,5.2122,-733.252,winter,563.57,Urban,False,0.2897,0.0,0.4877,0.6183,0.4345,7.0441,-718.648,winter,599.28,0.9330341732827061,1.0203214925805122,0.9404118275263651
65,Urban,0.5,0.75,0.0,True,0.2787,0.1877,0.4855,0.5861,0.6314,3.6277,-842.032,winter,622.74,Urban,False,0.2968,0.0,0.5082,0.5984,0.5985,4.6981,-806.176,winter,644.57,0.9390161725067385,1.0444766403366015,0.9661324603999565
66,Urban,0.5,0.75,0.25,True,0.2729,0.1864,0.4898,0.5973,0.632,3.9149,-840.036,winter,629.69,Urban,False,0.292,0.0,0.5136,0.6192,0.5986,5.0266,-808.416,winter,657.65,0.9345890410958904,1.0391135257095356,0.9574849844142022
67,Urban,0.5,0.75,0.5,True,0.2726,0.1816,0.4943,0.5725,0.631,3.9298,-848.852,winter,642.39,Urban,False,0.2922,0.0,0.5194,0.606,0.5986,5.0266,-808.416,winter,660.09,0.9329226557152634,1.050018802200847,0.9731854747079943
68,Urban,0.5,0.75,0.75,True,0.2754,0.1758,0.5185,0.5558,0.6323,3.8817,-854.096,winter,647.09,Urban,False,0.2939,0.0,0.5287,0.5943,0.5986,5.0266,-808.416,winter,662.34,0.9370534195304525,1.0565055614930925,0.9769755714587675
69,Urban,0.5,0.75,1.0,True,0.2782,0.1647,0.536,0.5409,0.6324,3.8693,-855.692,winter,653.79,Urban,False,0.2958,0.0,0.5393,0.5818,0.5986,5.0266,-808.416,winter,666.88,0.940500338066261,1.0584797925820368,0.9803712811900192
70,Urban,0.5,1.0,0.0,True,0.2849,0.1801,0.544,0.5528,0.838,2.8538,-1130.856,winter,793.36,Urban,False,0.3021,0.0,0.5708,0.5653,0.7957,3.5844,-1096.224,winter,835.51,0.9430652101952995,1.0315920833698222,0.9495517707747364
71,Urban,0.5,1.0,0.25,True,0.279,0.1786,0.5529,0.5636,0.8389,3.0574,-1129.816,winter,804.1,Urban,False,0.2975,0.0,0.5762,0.5858,0.7959,3.8346,-1103.972,winter,842.75,0.9378151260504203,1.0234100140220947,0.9541382379115989
72,Urban,0.5,1.0,0.5,True,0.278,0.1737,0.5538,0.5407,0.8385,3.061,-1138.632,winter,815.36,Urban,False,0.2976,0.0,0.582,0.5739,0.7959,3.8346,-1103.972,winter,846.76,0.9341397849462367,1.0313957238045892,0.9629174736643205
