,grid_topology,pv_penetration,hp_penetration,ev_penetration,lem_with_lem,average_energy_price_with_lem,avg_share_balancing_energy_with_lem,avg_normalized_market_energy_with_lem,avg_ratio_gen_dem_with_lem,avg_ratio_hp_hh_with_lem,avg_ratio_pv_hp_with_lem,peak_power_with_lem,season_with_lem,max_loads_with_lem,grid_topology_without_lem,lem_without_lem,average_energy_price_without_lem,avg_share_balancing_energy_without_lem,avg_normalized_market_energy_without_lem,avg_ratio_gen_dem_without_lem,avg_ratio_hp_hh_without_lem,avg_ratio_pv_hp_without_lem,peak_power_without_lem,season_without_lem,max_loads_without_lem,average_energy_price_ratio,peak_power_ratio,max_loads_ratio
64,Rural,0.5,0.5,1.0,True,0.2463,0.1333,0.4491,0.802,0.8707,3.7428,246.29200000000003,summer,169.34,Rural,False,0.2933,0.0,0.4223,0.9015,0.8951,11.1707,-218.8,winter,168.48,0.8397545175588135,1.1256489945155395,1.0051044634377968
65,Rural,0.5,0.75,0.0,True,0.2518,0.1504,0.4619,0.8636,1.282,2.7486,-323.76,winter,204.63,Rural,False,0.2979,0.0,0.4705,0.9595,1.3388,7.5959,-307.056,winter,219.77,0.8452500839207788,1.054400500234485,0.931109796605542
66,Rural,0.5,0.75,0.25,True,0.2513,0.1477,0.4682,0.835,1.2824,2.8412,-327.344,winter,206.6,Rural,False,0.2973,0.0,0.474,0.9241,1.3374,7.6354,-296.644,winter,220.96,0.8452741338715103,1.1034910532490123,0.9350108616944243
67,Rural,0.5,0.75,0.5,True,0.2506,0.1435,0.4753,0.7961,1.2743,2.9665,-327.24,winter,210.54,Rural,False,0.2972,0.0,0.4791,0.8938,1.3374,7.6354,-296.644,winter,223.44,0.8432032301480483,1.103140464664716,0.942266380236305
68,Rural,0.5,0.75,0.75,True,0.2562,0.1386,0.4971,0.7684,1.2732,2.9486,-343.452,winter,210.75,Rural,False,0.3003,0.0,0.4886,0.8596,1.3374,7.6354,-296.644,winter,224.56,0.853146853146853,1.1577918312859858,0.9385019593872461
69,Rural,0.5,0.75,1.0,True,0.2579,0.1301,0.5148,0.745,1.272,2.9531,-347.252,winter,215.75,Rural,False,0.3025,0.0,0.4968,0.83,1.3374,7.6354,-296.644,winter,226.38,0.8525619834710745,1.170601798789121,0.9530435550843714
70,Rural,0.5,1.0,0.0,True,0.2619,0.1393,0.5183,0.8133,1.6472,2.3724,-432.552,winter,260.92,Rural,False,0.3064,0.0,0.5443,0.8883,1.7815,6.3993,-338.636,winter,270.45,0.8547650130548303,1.277336136736791,0.964762432982067
71,Rural,0.5,1.0,0.25,True,0.2583,0.1385,0.5219,0.7728,1.6547,2.4441,-436.936,winter,265.44,Rural,False,0.3057,0.0,0.5476,0.8562,1.7787,6.433,-328.34,winter,271.12,0.8449460255152108,1.330742522994457,0.9790498672174682
72,Rural,0.5,1.0,0.5,True,0.2586,0.1346,0.5306,0.7505,1.6407,2.5629,-436.824,winter,266.87,Rural,False,0.3053,0.0,0.5527,0.8301,1.7787,6.433,-328.34,winter,273.46,0.8470357025876187,1.3304014131692758,0.9759014115409933
73,Rural,0.5,1.0,0.75,True,0.264,0.1286,0.5577,0.7214,1.6442,2.5502,-453.616,winter,268.48,Rural,False,0.3079,0.0,0.5621,0.7995,1.7787,6.433,-328.34,winter,274.58,0.8574212406625528,1.3815435219589451,0.977784252312623
74,Rural,0.5,1.0,1.0,True,0.2644,0.1247,0.585,0.6967,1.6474,2.4883,-457.028,winter,272.62,Rural,False,0.31,0.0,0.5703,0.7713,1.7787,6.433,-328.34,winter,275.93,0.8529032258064517,1.3919351891332157,0.9880042039647736
75,Rural,0.75,0.0,0.0,True,0.2358,0.2518,0.2395,1.152,0.0,inf,148.588,summer,117.6,Rural,False,0.2408,0.0,0.2105,1.1684,0.0,inf,136.37599999999998,transition,125.04,0.9792358803986712,1.0895465477796682,0.9404990403071016
76,Rural,0.75,0.0,0.25,True,0.2189,0.2403,0.309,1.364,0.0,inf,207.476,summer,162.96,Rural,False,0.2388,0.0,0.2774,1.4641,0.0,inf,191.612,transition,179.16,0.9166666666666666,1.0827923094586978,0.9095780308104489
77,Rural,0.75,0.0,0.5,True,0.2141,0.2198,0.3101,1.2538,0.0,inf,224.376,summer,153.42,Rural,False,0.2413,0.0,0.2814,1.3913,0.0,inf,191.612,transition,178.34,0.8872772482387071,1.170991378410538,0.8602669059100594
78,Rural,0.75,0.0,0.75,True,0.2108,0.2011,0.3105,1.1741,0.0,inf,213.924,summer,144.22,Rural,False,0.2385,0.0,0.278,1.3145,0.0,inf,191.612,transition,176.73,0.8838574423480083,1.1164436465357077,0.8160470774627964
79,Rural,0.75,0.0,1.0,True,0.2135,0.1828,0.3308,1.1356,0.0,inf,265.508,summer,148.68,Rural,False,0.2434,0.0,0.2862,1.2725,0.0,inf,191.612,transition,175.46,0.8771569433032046,1.3856543431517858,0.847372620540294
80,Rural,0.75,0.25,0.0,True,0.2091,0.2029,0.4098,1.4947,0.4039,9.5043,256.348,summer,200.8,Rural,False,0.2449,0.0,0.3897,1.662,0.4,28.2703,257.372,summer,238.52,0.8538178848509596,0.9960213232208632,0.8418581251048131
